
Active Connections

  Proto  Local Address          Foreign Address        State           PID
  TCP    127.0.0.1:60526        127.0.0.1:61636        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:61637        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:61638        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:61639        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:61641        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:61642        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:61643        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:61644        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:61646        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:61647        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:61648        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:61649        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:61650        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:61655        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:61658        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:61659        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:61661        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:61665        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:61666        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:61668        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:61669        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:61672        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:61673        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:61675        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:61677        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:61678        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:61679        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:61680        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:61681        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:61682        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:61683        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:61684        TIME_WAIT       0
